YEAR,harv.month,classification,TCH_t_ha,Sugar_Yield_kg_tc,TSH_t_ha
2006,October,N,115.18175,121.39509948407625,13.9825
2007,October,N,111.973,104.48054441695766,11.699
2008,October,LA,114.45775,121.1014544668229,13.861
2009,October,LA,119.54237499999999,122.17738688895884,14.605375
2010,October,EN,115.9245,107.79321886227675,12.495875
2011,October,LA,111.218625,113.34095345990835,12.605625
2012,October,LA,114.859,113.97452528752645,13.091
2013,October,N,115.3,112.27124891587164,12.944875
2014,October,N,108.9865,113.37413349359784,12.356250000000001
2015,October,EN,116.4625,118.2558763550499,13.772375
2016,October,EN,111.102625,88.70627494174869,9.855500000000001
2017,October,N,114.20275000000001,101.50149624242847,11.59175
2018,October,LA,117.370375,120.85034234575804,14.18425
2019,October,EN,113.391,110.05062130151423,12.47875
1963,November,N,97.70325,133.21204770568022,13.01525
1964,November,LA,106.762875,132.203024693743,14.114374999999999
1965,November,EN,105.632375,126.21722270279353,13.332625
1966,November,EN,109.71675,129.94027803411967,14.256625
1967,November,N,106.572125,125.00219921485098,13.32175
1968,November,N,108.054875,127.62149787318712,13.790125
1969,November,EN,102.900875,116.7361307666237,12.01225
1970,November,N,104.835625,124.58431950016991,13.060875
1971,November,LA,104.33875,118.16559044458553,12.32925
1972,November,EN,110.397,118.35353315760392,13.065875
1973,November,LA,108.953375,123.72838381555414,13.480625
1974,November,LA,104.31524999999999,129.25842578146532,13.483625
1975,November,LA,105.770375,129.45969039062214,13.693
1976,November,LA,111.906125,122.12356562252512,13.666375
1977,November,EN,107.32775,121.15692353561869,13.003499999999999
1978,November,N,111.71424999999999,126.11417075261215,14.088750000000001
1979,November,N,111.09825000000001,126.9765725382713,14.106875
1980,November,N,112.77575,125.86482466310355,14.1945
1981,November,N,100.600375,129.33724153612746,13.011375
1982,November,EN,117.38375,116.88692003790985,13.720625
1983,November,EN,110.80125,122.99951489716948,13.628499999999999
1984,November,N,108.472125,119.28871127029178,12.9395
1985,November,LA,107.9,121.98331788693233,13.161999999999999
1986,November,N,110.654,119.63191570119471,13.23775
1987,November,EN,107.80425,117.77017139862298,12.696125
1988,November,LA,102.126125,124.82849026142918,12.74825
1989,November,LA,105.250125,118.76114161384606,12.499625
1990,November,N,119.88625,111.59745175113909,13.379
1991,November,EN,108.2535,122.51335984517821,13.2625
1992,November,EN,118.501375,120.38784360097088,14.266125
1993,November,N,102.7105,117.73990974632584,12.093125
1994,November,N,108.9035,120.12928877400635,13.0825
1995,November,EN,111.692625,125.25222681443826,13.989749999999999
1996,November,N,103.79875,124.19224701646215,12.891
1997,November,EN,115.778375,128.43719736090614,14.87025
1998,November,EN,96.15175,102.78154063758589,9.882625
1999,November,LA,93.21925,113.90351241830416,10.618
2000,November,LA,106.61675,122.48896163126338,13.059375
2001,November,N,100.49025,110.37264809272541,11.091375
2002,November,N,101.344875,108.97319672060378,11.043875
2003,November,N,107.178125,119.26874070618422,12.783
2004,November,N,109.06875,123.38433327603003,13.457375
2005,November,N,98.82375,103.64031925523976,10.242125
2006,November,N,104.830125,122.34436427505929,12.825375
2007,November,LA,100.8605,108.15928931544063,10.909
2008,November,LA,107.063875,120.98151687485625,12.95275
2009,November,LA,110.0945,114.27682581782015,12.58125
2010,November,EN,105.86625,106.93445739317299,11.32075
2011,November,LA,101.161875,117.78523282610175,11.915375000000001
2012,November,N,101.28687500000001,112.68488636854478,11.413499999999999
2013,November,N,111.191375,113.13265080137737,12.579375
2014,November,N,98.466375,110.63802237058083,10.894125
2015,November,EN,106.128875,116.77194354505313,12.392875
2016,November,EN,94.01675,88.79534763752204,8.34825
2017,November,N,103.8615,101.82911858580898,10.576125
2018,November,LA,106.165375,120.89629033948215,12.835
2019,November,EN,103.2615,112.21752540879224,11.58775
1963,Entire Season,N,139.249375,111.37662197765701,15.509125000000001
1964,Entire Season,EN,129.43525,110.55044896965858,14.309125
1965,Entire Season,LA,136.74824999999998,119.27026488455977,16.31
1966,Entire Season,EN,144.385125,114.79887557669117,16.57525
1967,Entire Season,N,140.172375,110.58705397550695,15.50125
1968,Entire Season,N,143.764875,117.24612844410014,16.855875
1969,Entire Season,EN,147.9835,107.49678173580163,15.90775
1970,Entire Season,EN,146.5615,111.87965461598033,16.39725
1971,Entire Season,LA,145.5665,117.03413903611064,17.03625
1972,Entire Season,LA,144.472125,115.99123360302204,16.7575
1973,Entire Season,EN,146.293,110.5768902134757,16.176625
1974,Entire Season,LA,139.21125,117.44830248992088,16.350125
1975,Entire Season,LA,140.571125,112.37193982761394,15.796249999999999
1976,Entire Season,LA,134.39275,116.60413229136243,15.67075
1977,Entire Season,EN,143.790125,114.69668031792865,16.49225
1978,Entire Season,N,140.33425,115.11355923447057,16.154375
1979,Entire Season,N,135.255875,117.53093904423743,15.896749999999999
1980,Entire Season,N,134.528875,112.08002742905566,15.078
1981,Entire Season,N,132.870375,112.40654660604368,14.9355
